customer_id,acquisition_date,acquisition_channel,platform,campaign_name,ad_set_name,ad_name,age_band,gender,hk_district,language_pref,plan_type,plan_category,monthly_arpu_hkd,contract_months,cross_sell_broadband,cross_sell_entertainment,cross_sell_device_financing,monthly_total_revenue_hkd,status,months_active,churn_date,realized_revenue_hkd,projected_ltv_24mo_hkd
CUST100011,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,25-34,male,Tuen Mun,Cantonese,5G_Family_2Line,subscription,388,24,Y,Y,N,664,active,5,,3320,20717.0
CUST100012,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Islands,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100013,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Southern,Cantonese,5G_Family_2Line,subscription,388,24,N,Y,N,466,active,5,,2330,14539.0
CUST100014,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Tuen Mun,Cantonese,5G_Single_Premium,subscription,488,24,N,Y,N,566,active,5,,2830,17659.0
CUST100015,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,45-54,female,Kwun Tong,Cantonese,5G_Single_Premium,subscription,488,24,N,Y,N,566,active,5,,2830,17659.0
CUST100016,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,45-54,male,Kwai Tsing,Mandarin,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100017,2025-11-12,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,male,Tsuen Wan,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100018,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,45-54,male,Tuen Mun,English,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100019,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,male,Tuen Mun,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100020,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,25-34,male,Eastern,English,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100021,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Yuen Long,Cantonese,5G_Family_2Line,subscription,388,24,N,N,Y,638,active,5,,3190,19906.0
CUST100022,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,25-34,female,Sha Tin,English,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100023,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,25-34,male,Kowloon City,English,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100024,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,male,Tuen Mun,English,5G_Family_4Line,subscription,588,24,Y,N,N,786,active,5,,3930,24523.0
CUST100025,2025-11-14,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Tai Po,English,5G_Single_Premium,subscription,488,24,N,N,Y,738,active,5,,3690,23026.0
CUST100026,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,25-34,female,Islands,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100027,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,25-34,female,Eastern,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100028,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,25-34,female,Kwun Tong,Mandarin,5G_Family_2Line,subscription,388,24,N,Y,N,466,active,5,,2330,14539.0
CUST100029,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,25-34,female,Kowloon City,English,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100030,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Southern,Cantonese,5G_Family_4Line,subscription,588,24,Y,Y,N,864,active,5,,4320,26957.0
CUST100031,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,25-34,female,Tuen Mun,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100032,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,female,Wong Tai Sin,Mandarin,5G_Family_2Line,subscription,388,24,N,Y,N,466,active,5,,2330,14539.0
CUST100033,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,45-54,female,Kwun Tong,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100034,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Kwun Tong,Mandarin,5G_Family_2Line,subscription,388,24,N,Y,N,466,active,5,,2330,14539.0
CUST100035,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,female,Islands,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100036,2025-11-10,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Kwai Tsing,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100037,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,female,Central & Western,English,5G_Family_4Line,subscription,588,24,N,N,Y,838,active,5,,4190,26146.0
CUST100038,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,25-34,female,Sai Kung,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100039,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,45-54,male,Yau Tsim Mong,Cantonese,5G_Family_4Line,subscription,588,24,N,N,Y,838,active,5,,4190,26146.0
CUST100040,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,25-34,male,Wong Tai Sin,English,5G_Family_4Line,subscription,588,24,N,N,N,588,churned,2,2026-01-04,1176,1176
CUST100041,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,25-34,female,Kwai Tsing,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100042,2025-11-06,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Eastern,Cantonese,5G_Family_4Line,subscription,588,24,Y,N,Y,1036,active,5,,5180,32323.0
CUST100043,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Yuen Long,English,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100044,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,North,English,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100045,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Wong Tai Sin,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,churned,3,2026-02-01,1464,1464
CUST100046,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Central & Western,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,churned,1,2025-12-02,588,588
CUST100047,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Wong Tai Sin,English,5G_Family_2Line,subscription,388,24,N,Y,N,466,active,5,,2330,14539.0
CUST100048,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,Eastern,Cantonese,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100049,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,male,Southern,English,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100050,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,male,Eastern,Mandarin,5G_Single_Premium,subscription,488,24,N,N,N,488,churned,4,2026-03-05,1952,1952
CUST100051,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,45-54,female,Eastern,Cantonese,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100052,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,Sha Tin,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100053,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,35-44,male,Central & Western,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100054,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,45-54,male,Eastern,Cantonese,5G_Family_4Line,subscription,588,24,Y,Y,N,864,active,5,,4320,26957.0
CUST100055,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,female,North,Cantonese,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100056,2025-11-06,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,35-44,female,Eastern,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100057,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,Sha Tin,Cantonese,5G_Single_Premium,subscription,488,24,Y,N,N,686,active,5,,3430,21403.0
CUST100058,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,45-54,female,Sham Shui Po,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,churned,4,2026-03-05,1952,1952
CUST100059,2025-11-09,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,45-54,male,Sham Shui Po,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,churned,2,2026-01-08,776,776
CUST100060,2025-11-06,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,35-44,male,Kwun Tong,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,churned,3,2026-02-04,1164,1164
CUST100061,2025-11-10,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,male,Tai Po,Cantonese,5G_Single_Standard,subscription,298,24,Y,N,N,496,active,5,,2480,15475.0
CUST100062,2025-11-14,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,female,Sai Kung,English,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100063,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,female,Tai Po,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100064,2025-11-01,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,North,English,5G_Single_Premium,subscription,488,24,N,N,N,488,churned,1,2025-12-01,488,488
CUST100065,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,35-44,female,Tai Po,Cantonese,5G_Single_Premium,subscription,488,24,N,Y,N,566,active,5,,2830,17659.0
CUST100066,2025-11-14,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,35-44,female,Wan Chai,Cantonese,5G_Single_Standard,subscription,298,24,Y,N,N,496,active,5,,2480,15475.0
CUST100067,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,female,Tsuen Wan,English,5G_Single_Premium,subscription,488,24,N,N,Y,738,active,5,,3690,23026.0
CUST100068,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,35-44,male,Kowloon City,Cantonese,5G_Family_4Line,subscription,588,24,Y,N,N,786,active,5,,3930,24523.0
CUST100069,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,male,Wan Chai,Mandarin,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100070,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,Tsuen Wan,English,5G_Family_4Line,subscription,588,24,Y,Y,N,864,active,5,,4320,26957.0
CUST100071,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,Tuen Mun,Mandarin,5G_Family_2Line,subscription,388,24,Y,N,N,586,active,5,,2930,18283.0
CUST100072,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,female,Kwai Tsing,English,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100073,2025-11-01,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,male,Central & Western,Cantonese,5G_Single_Premium,subscription,488,24,Y,N,N,686,active,5,,3430,21403.0
CUST100074,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,female,Eastern,English,5G_Single_Premium,subscription,488,24,N,Y,N,566,active,5,,2830,17659.0
CUST100075,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,45-54,female,Eastern,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100076,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,35-44,male,Sha Tin,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100077,2025-11-12,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,35-44,female,Eastern,Cantonese,5G_Family_2Line,subscription,388,24,Y,N,N,586,active,5,,2930,18283.0
CUST100078,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,25-34,female,Eastern,Cantonese,5G_Family_2Line,subscription,388,24,Y,N,N,586,churned,1,2025-12-03,586,586
CUST100079,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,35-44,female,Wong Tai Sin,English,5G_Family_2Line,subscription,388,24,Y,N,N,586,active,5,,2930,18283.0
CUST100080,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,35-44,female,Kowloon City,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100081,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,45-54,male,Sai Kung,Cantonese,5G_Family_4Line,subscription,588,24,Y,N,N,786,active,5,,3930,24523.0
CUST100082,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,25-34,female,Kwai Tsing,Cantonese,5G_Family_2Line,subscription,388,24,N,N,Y,638,churned,2,2026-01-10,1276,1276
CUST100083,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Static_HappyFamily,45-54,female,Tuen Mun,Cantonese,5G_Family_2Line,subscription,388,24,N,N,Y,638,active,5,,3190,19906.0
CUST100084,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Lookalike_5G_Customers,5G_Family_Video_v1_Canto,45-54,female,Tuen Mun,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100085,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,25-34,male,Islands,Cantonese,5G_Family_4Line,subscription,588,24,Y,N,N,786,churned,3,2026-02-02,2358,2358
CUST100086,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,25-34,male,North,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100087,2025-11-13,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,18-24,male,Southern,English,5G_Single_Standard,subscription,298,24,N,N,N,298,active,5,,1490,9298.0
CUST100088,2025-11-06,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,18-24,female,Tuen Mun,English,5G_Single_Basic,subscription,198,12,N,N,N,198,churned,3,2026-02-04,594,594
CUST100089,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,18-24,female,Kowloon City,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100090,2025-11-01,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,25-34,female,Sham Shui Po,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100091,2025-11-10,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,35-44,male,Sham Shui Po,Cantonese,5G_Single_Standard,subscription,298,24,N,Y,N,376,churned,2,2026-01-09,752,752
CUST100092,2025-11-12,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,18-24,male,Tai Po,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100093,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,18-24,female,Central & Western,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100094,2025-11-08,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,35-44,male,Eastern,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
CUST100095,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,25-34,male,Sai Kung,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100096,2025-11-07,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,35-44,female,Kowloon City,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100097,2025-11-05,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,35-44,female,Sham Shui Po,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100098,2025-11-14,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,18-24,male,Tsuen Wan,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,churned,4,2026-03-14,792,792
CUST100099,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Static_HappyFamily,18-24,male,Sai Kung,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
CUST100100,2025-11-14,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Broad_HK_25-55,5G_Family_Video_v1_Canto,25-34,male,Tuen Mun,Cantonese,5G_Single_Basic,subscription,198,12,N,N,N,198,active,5,,990,3802.0
